{'time': 1622619290.630046, 'processing_delay': 4.444995880126953, 'bandwidth': 3291.1122404254343}
{'time': 1622619295.3960984, 'processing_delay': 4.360393285751343, 'bandwidth': 3516.8328578681035}
{'time': 1622619300.0726323, 'processing_delay': 4.326774835586548, 'bandwidth': 3565.1758080850004}
{'time': 1622619304.7075691, 'processing_delay': 4.425456523895264, 'bandwidth': 2985.527066667779}
{'time': 1622619309.446961, 'processing_delay': 4.375704288482666, 'bandwidth': 3277.270067423001}
{'time': 1622619314.1354992, 'processing_delay': 4.405925512313843, 'bandwidth': 3459.219793814433}
{'time': 1622619318.8545704, 'processing_delay': 4.457515001296997, 'bandwidth': 3468.897839978807}
{'time': 1622619323.628224, 'processing_delay': 4.441115856170654, 'bandwidth': 2852.957198009358}
{'time': 1622619328.3762805, 'processing_delay': 4.395641565322876, 'bandwidth': 3599.8626224968402}
{'time': 1622619333.0879552, 'processing_delay': 4.3964056968688965, 'bandwidth': 3173.3335224787506}
{'time': 1622619337.8009953, 'processing_delay': 4.383424758911133, 'bandwidth': 3422.688329779129}
{'time': 1622619342.5103598, 'processing_delay': 4.398131608963013, 'bandwidth': 3311.7181710232094}
{'time': 1622619347.22, 'processing_delay': 4.412167072296143, 'bandwidth': 3529.120018931675}
{'time': 1622619351.9430134, 'processing_delay': 4.475691318511963, 'bandwidth': 3380.0861405182154}
{'time': 1622619356.7323494, 'processing_delay': 4.486612796783447, 'bandwidth': 3421.3250912891363}
{'time': 1622619361.5351076, 'processing_delay': 4.407665967941284, 'bandwidth': 3564.004275178077}
{'time': 1622619366.2629013, 'processing_delay': 4.650209903717041, 'bandwidth': 3459.2978063293954}
{'time': 1622619371.2347765, 'processing_delay': 4.650661468505859, 'bandwidth': 3544.5563584625997}
{'time': 1622619376.1941848, 'processing_delay': 4.471293210983276, 'bandwidth': 3377.619382256629}
{'time': 1622619380.992705, 'processing_delay': 4.4864442348480225, 'bandwidth': 3420.0174036017556}
{'time': 1622619385.7934952, 'processing_delay': 4.454339504241943, 'bandwidth': 3245.0506337530146}
{'time': 1622619390.561057, 'processing_delay': 4.416827917098999, 'bandwidth': 3268.471223536216}
{'time': 1622619395.291359, 'processing_delay': 4.38513445854187, 'bandwidth': 3508.2379248716766}
{'time': 1622619399.9999838, 'processing_delay': 4.577362537384033, 'bandwidth': 3540.057182043572}
{'time': 1622619404.8826184, 'processing_delay': 4.510286808013916, 'bandwidth': 3330.3510860361466}
{'time': 1622619409.701099, 'processing_delay': 4.55452299118042, 'bandwidth': 3313.2407953689876}
{'time': 1622619414.5956235, 'processing_delay': 4.495080232620239, 'bandwidth': 2618.65256709167}
{'time': 1622619419.407812, 'processing_delay': 4.679543733596802, 'bandwidth': 3514.749207845602}
{'time': 1622619424.413147, 'processing_delay': 4.63773250579834, 'bandwidth': 3163.5352433031244}
{'time': 1622619429.3515024, 'processing_delay': 4.6380555629730225, 'bandwidth': 3244.668199743144}
{'time': 1622619434.3097084, 'processing_delay': 4.629267692565918, 'bandwidth': 3515.923115712817}
{'time': 1622619439.2497609, 'processing_delay': 4.547937870025635, 'bandwidth': 3318.145174399021}
{'time': 1622619444.1023905, 'processing_delay': 4.4144792556762695, 'bandwidth': 3517.9044236653976}
{'time': 1622619448.829048, 'processing_delay': 4.663182497024536, 'bandwidth': 3577.3864939512973}
{'time': 1622619453.802852, 'processing_delay': 4.530510663986206, 'bandwidth': 3239.988243920544}
{'time': 1622619458.651277, 'processing_delay': 4.423938512802124, 'bandwidth': 3456.480443978033}
{'time': 1622619463.38556, 'processing_delay': 4.4442644119262695, 'bandwidth': 3467.273609124287}
{'time': 1622619468.1406734, 'processing_delay': 4.9430832862854, 'bandwidth': 3615.5601559711495}
{'time': 1622619473.4100015, 'processing_delay': 4.450042724609375, 'bandwidth': 3603.1604832214766}
{'time': 1622619478.1704755, 'processing_delay': 4.368135213851929, 'bandwidth': 3516.9941271073467}
{'time': 1622619482.8551483, 'processing_delay': 4.414635419845581, 'bandwidth': 3421.9356878342287}
{'time': 1622619487.5785236, 'processing_delay': 4.439661979675293, 'bandwidth': 3380.330886149274}
{'time': 1622619492.339964, 'processing_delay': 4.4660937786102295, 'bandwidth': 3564.169899754365}
{'time': 1622619497.1214573, 'processing_delay': 4.423656225204468, 'bandwidth': 3210.0192946424036}
{'time': 1622619501.8681595, 'processing_delay': 4.452030420303345, 'bandwidth': 3377.619382256629}
{'time': 1622619506.6381276, 'processing_delay': 4.420240879058838, 'bandwidth': 3422.6665094114082}
{'time': 1622619511.3776274, 'processing_delay': 4.419292688369751, 'bandwidth': 3460.490721463424}
