('total_service_delay', 'net_speed', 'cpu_usage', 'memory_usage')
(0.58673095703125, 65185.88052452647, 28.5, 50.2)
(0.5713416337966919, 61709.300229885055, 29.5, 50.2)
(0.5693588256835938, 64172.95147023667, 28.8, 50.2)
(0.572319746017456, 126979.87511825922, 27.7, 50.2)
(0.564948558807373, 128284.56678614097, 28.9, 50.2)
(0.5760440826416016, 64203.64888782588, 27.6, 50.2)
(0.5623998641967773, 128345.90294047334, 28.9, 50.2)
(0.565985918045044, 64165.28170192423, 29.1, 50.2)
(0.5716835260391235, 128192.67239732569, 29.6, 50.2)
(0.5916017293930054, 132169.10684391926, 30.1, 50.5)
(0.635102391242981, 64188.296508847445, 35.5, 49.8)
(0.562873363494873, 64149.947663998086, 28.4, 49.7)
(0.5687999725341797, 64188.296508847445, 28.3, 49.7)
(0.5793510675430298, 64219.00861244019, 28.7, 49.7)
(0.568378210067749, 64165.28170192423, 29.5, 49.7)
(0.5627481937408447, 128438.01722488039, 28.3, 49.7)
(0.5559390783309937, 65130.524323668564, 29.5, 49.7)
(0.5825207233428955, 128315.2275334608, 28.3, 49.7)
(0.5709742307662964, 128284.56678614097, 28.4, 49.7)
(0.5656951665878296, 64172.95147023667, 28.0, 49.7)
(0.5619114637374878, 124766.65396235185, 29.5, 49.7)
(0.5838533639907837, 64219.00861244019, 28.9, 49.7)
(0.5690490007400513, 128315.2275334608, 27.6, 49.7)
(0.5620582103729248, 128315.2275334608, 28.7, 49.7)
(0.5682650804519653, 128376.59301769489, 28.6, 49.7)
(0.5811890363693237, 64188.296508847445, 28.6, 49.7)
(0.565070390701294, 64165.28170192423, 28.4, 49.7)
(0.5791288614273071, 64226.691231008495, 28.0, 49.7)
(0.5702590942382812, 128468.75137592726, 28.1, 49.7)
(0.5673874616622925, 128162.07018381475, 28.1, 49.7)
(0.5865650177001953, 128284.56678614097, 28.2, 49.7)
(0.5739650726318359, 128223.28922856461, 29.5, 49.7)
(0.5645666122436523, 128499.50023934897, 28.2, 49.7)
(0.574676513671875, 128315.2275334608, 28.0, 49.7)
(0.5680768489837646, 128315.2275334608, 28.2, 49.7)
(0.5737606287002563, 128376.59301769489, 29.1, 49.8)
(0.5592427253723145, 64188.296508847445, 28.1, 49.7)
(0.5777462720870972, 64188.296508847445, 28.0, 49.7)
